"LOCATION","Country","TRANSACT","Transaction","MEASURE","Measure","TIME","Year","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"CAN","Canada","DB1_GE","Statistical discrepancy","VPVOB","Constant prices, constant PPPs, OECD base year","2003","2003","USD","US Dollar","6","Millions","2015","2015",6210.762,,
"CAN","Canada","DB1_GE","Statistical discrepancy","VPVOB","Constant prices, constant PPPs, OECD base year","2004","2004","USD","US Dollar","6","Millions","2015","2015",3649.846,,
"CAN","Canada","DB1_GE","Statistical discrepancy","VPVOB","Constant prices, constant PPPs, OECD base year","2005","2005","USD","US Dollar","6","Millions","2015","2015",1366.68,,
"CAN","Canada","DB1_GE","Statistical discrepancy","VPVOB","Constant prices, constant PPPs, OECD base year","2006","2006","USD","US Dollar","6","Millions","2015","2015",-794.556,,
"CAN","Canada","DB1_GE","Statistical discrepancy","VPVOB","Constant prices, constant PPPs, OECD base year","2007","2007","USD","US Dollar","6","Millions","2015","2015",-1506.909,,
"CAN","Canada","DB1_GE","Statistical discrepancy","VPVOB","Constant prices, constant PPPs, OECD base year","2008","2008","USD","US Dollar","6","Millions","2015","2015",-1785.694,,
"CAN","Canada","DB1_GE","Statistical discrepancy","VPVOB","Constant prices, constant PPPs, OECD base year","2009","2009","USD","US Dollar","6","Millions","2015","2015",-3016.098,,
"CAN","Canada","DB1_GE","Statistical discrepancy","VPVOB","Constant prices, constant PPPs, OECD base year","2010","2010","USD","US Dollar","6","Millions","2015","2015",-2715.853,,
"CAN","Canada","DB1_GE","Statistical discrepancy","VPVOB","Constant prices, constant PPPs, OECD base year","2011","2011","USD","US Dollar","6","Millions","2015","2015",-2098.354,,
"CAN","Canada","DB1_GE","Statistical discrepancy","VPVOB","Constant prices, constant PPPs, OECD base year","2012","2012","USD","US Dollar","6","Millions","2015","2015",-1558.977,,
"CAN","Canada","DB1_GE","Statistical discrepancy","VPVOB","Constant prices, constant PPPs, OECD base year","2013","2013","USD","US Dollar","6","Millions","2015","2015",-973.765,,
"CAN","Canada","DB1_GE","Statistical discrepancy","VPVOB","Constant prices, constant PPPs, OECD base year","2014","2014","USD","US Dollar","6","Millions","2015","2015",-355.723,,
