"REF_DATE","GEO","DGUID","Sex","Age group","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"1987","Canada","2016A000011124","Both sexes","15 to 19 years","Persons","249","units","0","v466737","1.1.25","1958061","","","","0"
"1988","Canada","2016A000011124","Both sexes","15 to 19 years","Persons","249","units","0","v466737","1.1.25","1944994","","","","0"
"1989","Canada","2016A000011124","Both sexes","15 to 19 years","Persons","249","units","0","v466737","1.1.25","1939950","","","","0"
"1990","Canada","2016A000011124","Both sexes","15 to 19 years","Persons","249","units","0","v466737","1.1.25","1938489","","","","0"
"1991","Canada","2016A000011124","Both sexes","15 to 19 years","Persons","249","units","0","v466737","1.1.25","1927520","","","","0"
"1992","Canada","2016A000011124","Both sexes","15 to 19 years","Persons","249","units","0","v466737","1.1.25","1926856","","","","0"
"1993","Canada","2016A000011124","Both sexes","15 to 19 years","Persons","249","units","0","v466737","1.1.25","1932135","","","","0"
"1994","Canada","2016A000011124","Both sexes","15 to 19 years","Persons","249","units","0","v466737","1.1.25","1956819","","","","0"
"1995","Canada","2016A000011124","Both sexes","15 to 19 years","Persons","249","units","0","v466737","1.1.25","1981185","","","","0"
"1996","Canada","2016A000011124","Both sexes","15 to 19 years","Persons","249","units","0","v466737","1.1.25","2009898","","","","0"
"1997","Canada","2016A000011124","Both sexes","15 to 19 years","Persons","249","units","0","v466737","1.1.25","2028117","","","","0"
"1998","Canada","2016A000011124","Both sexes","15 to 19 years","Persons","249","units","0","v466737","1.1.25","2052607","","","","0"
"1999","Canada","2016A000011124","Both sexes","15 to 19 years","Persons","249","units","0","v466737","1.1.25","2074904","","","","0"
"2000","Canada","2016A000011124","Both sexes","15 to 19 years","Persons","249","units","0","v466737","1.1.25","2095909","","","","0"
"2001","Canada","2016A000011124","Both sexes","15 to 19 years","Persons","249","units","0","v466737","1.1.25","2115915","","","","0"
"2002","Canada","2016A000011124","Both sexes","15 to 19 years","Persons","249","units","0","v466737","1.1.25","2128264","","","","0"
"2003","Canada","2016A000011124","Both sexes","15 to 19 years","Persons","249","units","0","v466737","1.1.25","2129918","","","","0"
"2004","Canada","2016A000011124","Both sexes","15 to 19 years","Persons","249","units","0","v466737","1.1.25","2144151","","","","0"
"2005","Canada","2016A000011124","Both sexes","15 to 19 years","Persons","249","units","0","v466737","1.1.25","2176159","","","","0"
"2006","Canada","2016A000011124","Both sexes","15 to 19 years","Persons","249","units","0","v466737","1.1.25","2211529","","","","0"
"2007","Canada","2016A000011124","Both sexes","15 to 19 years","Persons","249","units","0","v466737","1.1.25","2232083","","","","0"
"2008","Canada","2016A000011124","Both sexes","15 to 19 years","Persons","249","units","0","v466737","1.1.25","2250947","","","","0"
"2009","Canada","2016A000011124","Both sexes","15 to 19 years","Persons","249","units","0","v466737","1.1.25","2255781","","","","0"
